UnitID,Peer Group Status,Institution Name,Applicants total (ADM2021-2022),Admissions total (ADM2021-2022),Enrolled total (ADM2021-2022),Applicants total (IC2001-2002),Admissions total (IC2001-2002),Enrolled total (IC2001-2002)
139755,Target Institution,Georgia Institute of Technology-Main Campus,44048,7030,3453,9476,5157,2225
110662,Peer Group,University of California-Los Angeles,139489,15028,6584,40739,10953,4247
110635,Peer Group,University of California-Berkeley,112843,16295,6931,32963,8715,3703
243780,Peer Group,Purdue University-Main Campus,59436,40898,10278,21760,16727,6354
145637,Peer Group,University of Illinois Urbana-Champaign,47593,28395,8297,18805,12116,6179
110653,Comparison Group,University of California-Irvine,107950,31110,6489,29180,17248,3827
199120,Comparison Group,University of North Carolina at Chapel Hill,50729,10348,4690,16569,6088,3415
110680,Comparison Group,University of California-San Diego,118386,40493,7544,38187,16513,3981
110705,Comparison Group,University of California-Santa Barbara,105641,30824,4900,34022,17018,3649
234076,Comparison Group,University of Virginia-Main Campus,47971,9951,3889,14739,5534,2980
139959,Comparison Group,University of Georgia,39229,15685,5819,10953,8419,4514
110644,Comparison Group,University of California-Davis,87120,42475,7482,25270,15979,4309
196079,Comparison Group,Binghamton University,39533,17455,3089,15938,6530,1841
231624,Comparison Group,William & Mary,17475,6386,1684,8610,3222,1359
134097,Comparison Group,Florida State University,65235,24183,7619,18342,11444,5772
204796,Comparison Group,Ohio State University-Main Campus,58180,33269,8423,19968,14501,5996
217882,Comparison Group,Clemson University,47007,23138,4593,11432,5976,2544
